title,descript
¿Por qué Leo Messi no podrá ver la final de la UEFA Champions League?, Hay poco tiempo de entrenamiento y mucho que entrenar valga la redundancia. Así lo entiende tanto Lionel Scaloni director técnico del...
El gesto de Messi que generó una revolución en Huracán, Lionel Messi y Huracán habían tenido un fugaz encuentro. Fue en la previa al Mundial de Rusia 2018 cuando la Selección por ese entonces...
Lionel Messi sorprendió con un video al equipo femenino de handball de Huracán: la emocionante reacción de las jugadoras, Lionel Messi está en Argentina enfocándose en lo que serán las dos fechas de Eliminatorias y la Copa Argentina. El objetivo de dejar bien...
Detalles de la negociación entre Messi y Barcelona por 10 años," ""La renovación de Messi va bien. No está hecha pero va bien” dijo ayer Laporta. Y así es. Según se ha podido saber se ha pactado la..."
La novela de Lionel Messi y Barcelona: qué le ofrecerían para seguir, El presidente del club prometió una propuesta que esté a la altura. Transcendió que le ofrecería cobrar la mitad que ahora.
«Qué hermosa»: Antonela Roccuzzo y Lionel Messi se llevaron todas las miradas con su look, Antonela Roccuzzo compartió un elegante recuerdo con Lionel Messi en el casamiento de Cesc Fàbregas y Daniella Semaan. Antonela...
Ya nos ilusionamos: el golazo de Lautaro con pase de Messi en el entrenamiento de la Selección, Leo la filtró y el delantero la mandó a guardar ante la salida de Juan Musso. ¿La delantera ideal de Lionel Scaloni?
La noche en que Lionel Messi debutó en el estadio do Dragão el moderno y sorpresivo escenario en el que su mentor Pep Guardiola buscará ganar su tercera Champions League, A casi 18 años de aquellos pocos minutos que marcaron el estreno de la Pulga en Barcelona lo recordaron ante LA NACION Pedro Mendes y...
Joan Laporta rompió el silencio: cómo está la negociación con Lionel Messi el futuro DT del Barcelona y la afirmación sobre los nuevos fichajes, El presidente del Blaugrana habló sobre el nuevo contrato del argentino: “Va bien pero no está hecho”. Al mismo tiempo anunció que la...
Messi y un gran gesto con el Handball de Huracán, El diez de la Selección Argentina les dedicó un mensaje a los chicos y chicas que representan al globo en el deporte. “Sigan metiéndole para...
